x,y
18,00
15,00
15,00
356,00
9,00
9,00
283,00
283,00
283,01
283,01
296,01
296,01
242,01
209,01
209,01
182,01
387,01
387,01
384,01
198,01
373,01
373,01
78,01
78,01
113,01
334,01
334,01
249,01
134,01
134,01
110,01
346,01
384,01
384,01
346,01
346,01
208,01
23,01
23,01
175,01
108,02
108,02
348,02
80,02
396,02
396,02
319,02
319,02
106,02
192,02
192,02
171,02
201,02
201,02
335,02
335,02
25,02
25,02
47,02
47,02
207,02
223,02
223,02
111,02
197,02
197,02
191,02
192,02
107,03
107,03
344,03
344,03
171,03
59,03
59,03
66,03
6,03
6,03
171,03
86,03
195,03
195,03
209,03
209,03
184,03
3,03
3,03
3,03
192,03
192,03
390,03
206,03
213,03
213,03
196,03
196,03
208,03
201,03
201,03
366,03
310,04
310,04
377,04
63,04
190,04
190,04
388,04
388,04
2,04
31,04
31,04
192,04
367,04
367,04
62,04
38,04
20,04
20,04
331,04
331,04
183,04
179,04
179,04
30,04
134,04
134,04
11,04
63,04
14,05
14,05
185,05
185,05
54,05
176,05
176,05
177,05
383,05
383,05
18,05
184,05
368,05
368,05
16,05
16,05
174,05
373,05
373,05
200,05
215,05
215,05
220,05
230,05
392,05
392,05
123,05
123,05
4,05
393,05
393,05
86,05
73,06
73,06
9,06
84,06
84,06
395,06
8,06
8,06
27,06
229,06
229,06
183,06
169,06
169,06
226,06
195,06
195,06
147,06
222,06
222,06
86,06
65,06
65,06
71,06
64,06
64,06
206,06
201,06
201,06
19,07
14,07
14,07
174,07
45,07
45,07
11,07
22,07
22,07
210,07
33,07
33,07
191,07
49,07
49,07
192,07
235,07
235,07
233,07
3,07
3,07
73,07
3,07
3,07
395,07
234,07
234,07
396,07
77,07
77,07
64,07
228,08
228,08
69,08
8,08
8,08
8,08
392,08
392,08
328,08
15,08
15,08
391,08
340,08
340,08
20,08
389,08
389,08
83,08
216,08
216,08
224,08
132,08
132,08
343,08
134,08
134,08
376,08
121,08
121,08
86,09
200,09
200,09
127,09
130,09
130,09
139,09
212,09
212,09
11,09
182,09
182,09
104,09
183,09
183,09
396,09
38,09
38,09
165,09
165,09
165,09
39,09
356,09
356,09
115,09
8,09
8,09
188,09
19,09
19,09
94,09
396,10
396,10
160,10
246,10
246,10
137,10
76,10
76,10
389,10
231,10
231,10
273,10
315,10
315,10
112,10
130,10
130,10
254,10
139,10
139,10
141,10
156,10
156,10
155,10
133,10
133,10
123,10
130,10
130,10
116,11
124,11
124,11
147,11
155,11
155,11
61,11
59,11
59,11
147,11
177,11
177,11
147,11
181,11
181,11
61,11
2,11
2,11
4,11
7,11
7,11
16,11
16,11
66,11
7,11
17,11
17,12
15,12
68,12
68,12
67,12
16,12
16,12
69,12
3,12
3,12
12,12
71,12
71,12
29,12
23,12
23,12
28,12
32,12
32,12
84,12
33,12
33,12
7,12
15,12
15,12
2,12
264,12
264,12
321,12
7,12
7,12
55,13
68,13
68,13
7,13
68,13
68,13
8,13
71,13
71,13
24,13
28,13
28,13
40,13
82,13
82,13
194,13
33,13
33,13
70,13
160,13
