x,y
251,00
22,00
1,00
1,00
45,00
45,00
45,00
16,00
16,00
237,00
20,00
20,00
301,00
1,00
19,00
19,01
19,01
19,01
185,01
31,01
31,01
251,01
8,01
8,01
392,01
1,01
4,01
4,01
140,01
140,01
165,01
266,01
266,01
247,01
165,01
165,01
209,01
291,01
141,01
141,01
35,01
35,01
216,01
242,01
242,01
254,01
12,02
12,02
228,02
11,02
16,02
16,02
1,02
1,02
113,02
249,02
249,02
219,02
212,02
212,02
17,02
238,02
3,02
3,02
1,02
1,02
256,02
108,02
108,02
225,02
69,02
69,02
223,02
141,02
91,02
91,03
295,03
295,03
193,03
108,03
108,03
277,03
0,03
0,03
2,03
98,03
123,03
123,03
217,03
217,03
112,03
244,03
244,03
213,03
106,03
106,03
103,03
129,03
84,03
84,03
238,03
238,03
222,03
220,03
220,03
0,03
214,04
214,04
2,04
60,04
264,04
264,04
79,04
79,04
237,04
222,04
222,04
61,04
68,04
68,04
22,04
66,04
71,04
71,04
233,04
233,04
40,04
227,04
227,04
47,04
67,04
67,04
208,04
214,04
17,04
17,05
2,05
2,05
211,05
186,05
186,05
58,05
51,05
51,05
50,05
61,05
41,05
41,05
35,05
35,05
54,05
260,05
260,05
29,05
42,05
42,05
55,05
30,05
192,05
192,05
60,05
60,05
11,05
252,05
252,05
282,05
208,06
208,06
39,06
305,06
13,06
13,06
264,06
264,06
17,06
34,06
34,06
223,06
200,06
200,06
19,06
23,06
291,06
291,06
46,06
46,06
12,06
39,06
39,06
2,06
7,06
7,06
2,06
6,06
6,06
189,06
7,07
7,07
43,07
35,07
35,07
18,07
241,07
241,07
208,07
4,07
4,07
11,07
198,07
198,07
49,07
1,07
1,07
25,07
165,07
165,07
51,07
196,07
196,07
2,07
219,07
219,07
2,07
197,07
197,07
1,07
28,08
28,08
201,08
193,08
193,08
159,08
192,08
192,08
12,08
227,08
227,08
45,08
6,08
6,08
26,08
207,08
207,08
54,08
138,08
138,08
147,08
398,08
398,08
156,08
51,08
51,08
1,08
34,08
34,08
202,08
177,09
177,09
199,09
34,09
34,09
195,09
207,09
207,09
8,09
26,09
26,09
253,09
229,09
229,09
231,09
41,09
41,09
92,09
48,09
48,09
0,09
37,09
37,09
36,09
122,09
122,09
80,09
28,09
28,09
174,09
4,10
4,10
34,10
44,10
44,10
122,10
12,10
12,10
35,10
35,10
35,10
120,10
1,10
1,10
45,10
26,10
26,10
56,10
20,10
20,10
92,10
158,10
158,10
398,10
36,10
36,10
22,10
108,10
108,10
12,10
1,11
1,11
31,11
102,11
102,11
2,11
138,11
138,11
46,11
43,11
43,11
31,11
65,11
65,11
93,11
242,11
242,11
356,11
333,11
333,11
305,11
53,11
53,11
77,11
