x,y
284,27
284,27
264,27
244,27
244,27
228,27
231,27
231,27
242,27
251,27
251,27
253,27
255,27
255,27
259,27
252,27
252,27
240,27
235,27
235,27
236,27
304,27
304,27
320,27
301,27
301,27
232,27
220,28
220,28
220,28
223,28
223,28
214,28
304,28
304,28
304,28
306,28
306,28
309,28
312,28
312,28
311,28
308,28
308,28
303,28
298,28
298,28
296,28
304,28
304,28
310,28
228,28
228,28
239,28
244,28
244,28
244,28
244,29
244,29
282,29
184,29
184,29
234,29
242,29
242,29
234,29
231,29
231,29
240,29
242,29
242,29
244,29
248,29
248,29
246,29
248,29
248,29
246,29
246,29
246,29
242,29
243,29
243,29
240,29
243,29
243,29
240,29
234,30
234,30
235,30
234,30
234,30
232,30
231,30
231,30
232,30
242,30
242,30
247,30
256,30
256,30
260,30
265,30
265,30
270,30
268,30
268,30
348,30
348,30
348,30
348,30
348,30
348,30
347,30
347,30
347,30
347,30
397,31
397,31
378,31
363,31
363,31
319,31
286,31
286,31
281,31
204,31
204,31
200,31
156,31
156,31
130,31
124,31
124,31
140,31
136,31
136,31
193,31
165,31
165,31
177,31
187,31
187,31
191,31
201,31
201,31
208,31
226,32
226,32
201,32
370,32
370,32
213,32
262,32
262,32
275,32
288,32
288,32
300,32
296,32
296,32
297,32
297,32
297,32
295,32
295,32
295,32
292,32
290,32
290,32
283,32
283,32
283,32
290,32
293,32
293,32
292,32
290,33
290,33
288,33
286,33
286,33
243,33
96,33
96,33
40,33
237,33
237,33
235,33
229,33
229,33
225,33
224,33
224,33
223,33
219,33
219,33
220,33
220,33
220,33
224,33
224,33
224,33
223,33
224,33
224,33
223,33
221,34
221,34
218,34
214,34
214,34
212,34
208,34
208,34
211,34
210,34
210,34
211,34
209,34
209,34
211,34
208,34
208,34
246,34
248,34
248,34
204,34
202,34
202,34
198,34
193,34
193,34
190,34
187,34
187,34
175,34
175,35
175,35
174,35
220,35
220,35
215,35
214,35
214,35
210,35
204,35
204,35
204,35
198,35
198,35
196,35
198,35
198,35
197,35
200,35
200,35
195,35
195,35
195,35
194,35
194,35
194,35
194,35
203,35
203,35
209,35
216,36
216,36
182,36
179,36
179,36
177,36
175,36
175,36
175,36
176,36
176,36
180,36
183,36
183,36
189,36
185,36
185,36
184,36
177,36
177,36
161,36
176,36
176,36
171,36
172,36
172,36
176,36
200,36
200,36
200,36
153,37
153,37
157,37
157,37
157,37
158,37
179,37
179,37
179,37
230,37
230,37
183,37
234,37
234,37
238,37
241,37
241,37
256,37
266,37
266,37
271,37
275,37
275,37
277,37
283,37
283,37
287,37
293,37
293,37
297,37
298,38
298,38
301,38
310,38
310,38
319,38
319,38
319,38
321,38
312,38
312,38
312,38
306,38
306,38
294,38
287,38
287,38
261,38
228,38
228,38
221,38
212,38
212,38
207,38
199,38
199,38
190,38
143,38
143,38
176,38
172,39
172,39
133,39
133,39
133,39
133,39
97,39
97,39
73,39
65,39
65,39
58,39
51,39
51,39
44,39
40,39
40,39
37,39
38,39
38,39
45,39
84,39
84,39
141,39
184,39
184,39
153,39
156,39
156,39
159,39
167,40
167,40
210,40
195,40
195,40
267,40
280,40
280,40
283,40
278,40
278,40
284,40
292,40
292,40
294,40
294,40
294,40
303,40
284,40
284,40
291,40
164,40
164,40
197,40
214,40
214,40
219,40
188,40
188,40
186,40
218,41
218,41
222,41
188,41
188,41
218,41
185,41
185,41
177,41
198,41
198,41
163,41
141,41
141,41
160,41
211,41
211,41
172,41
208,41
208,41
166,41
164,41
164,41
166,41
172,41
172,41
172,41
176,41
176,41
171,41
167,42
167,42
203,42
164,42
164,42
200,42
164,42
164,42
196,42
161,42
161,42
157,42
153,42
153,42
159,42
159,42
159,42
160,42
161,42
161,42
161,42
160,42
160,42
160,42
162,42
162,42
161,42
159,42
159,42
156,42
155,43
155,43
154,43
157,43
157,43
158,43
161,43
161,43
199,43
197,43
197,43
156,43
155,43
155,43
197,43
158,43
158,43
192,43
160,43
160,43
155,43
156,43
156,43
153,43
152,43
152,43
153,43
153,43
153,43
152,43
152,44
153,44
152,44
153,44
153,44
153,44
155,44
155,44
157,44
156,44
156,44
154,44
154,44
153,44
151,44
188,44
188,44
190,44
150,44
150,44
152,44
154,44
154,44
190,44
190,44
156,44
156,44
153,44
153,44
274,44
16,45
16,45
287,45
303,45
303,45
31,45
31,45
31,45
117,45
138,45
138,45
138,45
88,45
88,45
88,45
108,45
108,45
135,45
135,45
181,45
181,45
181,45
181,45
181,45
181,45
181,45
181,45
181,45
181,45
181,45
181,46
181,46
181,46
181,46
