x,y
114,00
117,00
108,00
108,00
119,00
119,00
105,00
98,00
98,00
99,00
120,00
120,00
121,00
116,00
93,00
93,00
114,00
114,01
120,01
108,01
108,01
113,01
120,01
120,01
106,01
117,01
117,01
117,01
117,01
117,01
102,01
116,01
116,01
120,01
112,01
112,01
117,01
112,01
105,01
105,01
120,01
120,01
123,01
102,01
102,01
106,01
96,01
96,02
104,02
82,02
83,02
83,02
66,02
66,02
65,02
72,02
72,02
157,02
120,02
120,02
80,02
67,02
16,02
16,02
12,02
12,02
10,02
41,02
41,02
104,02
101,02
101,02
161,02
155,02
160,02
160,02
160,02
160,03
161,03
97,03
97,03
83,03
62,03
62,03
41,03
6,03
6,03
6,03
6,03
6,03
6,03
253,03
253,03
267,03
231,03
231,03
243,03
243,03
243,03
243,03
243,03
243,03
243,03
243,03
243,03
193,03
167,03
167,04
165,04
175,04
181,04
181,04
178,04
178,04
172,04
157,04
157,04
162,04
172,04
172,04
176,04
183,04
188,04
188,04
191,04
191,04
196,04
197,04
197,04
201,04
205,04
205,04
208,04
205,04
206,04
206,04
207,04
207,05
208,05
211,05
211,05
207,05
209,05
209,05
210,05
216,05
354,05
354,05
294,05
294,05
365,05
194,05
194,05
225,05
229,05
229,05
235,05
256,05
252,05
252,05
253,05
253,05
256,05
297,05
297,05
305,05
306,05
306,06
300,06
293,06
287,06
287,06
292,06
292,06
310,06
320,06
320,06
329,06
335,06
335,06
336,06
334,06
334,06
336,06
334,06
334,06
340,06
340,06
340,06
339,06
342,06
342,06
346,06
339,06
339,06
314,06
305,06
305,07
276,07
276,07
276,07
273,07
272,07
272,07
276,07
275,07
275,07
264,07
255,07
255,07
252,07
250,07
250,07
247,07
244,07
244,07
237,07
241,07
241,07
176,07
179,07
179,07
178,07
220,07
220,07
219,07
216,07
216,08
217,08
220,08
220,08
220,08
238,08
238,08
240,08
243,08
243,08
245,08
249,08
249,08
247,08
248,08
248,08
247,08
245,08
245,08
244,08
248,08
248,08
250,08
252,08
252,08
252,08
254,08
254,08
252,08
249,08
249,09
248,09
248,09
248,09
249,09
252,09
252,09
259,09
223,09
223,09
319,09
330,09
330,09
333,09
331,09
331,09
325,09
323,09
323,09
324,09
319,09
319,09
236,09
238,09
238,09
239,09
239,09
239,09
239,09
308,09
308,09
279,10
280,10
280,10
280,10
280,10
280,10
276,10
275,10
275,10
277,10
292,10
292,10
328,10
332,10
332,10
344,10
346,10
346,10
346,10
326,10
326,10
278,10
278,10
278,10
277,10
275,10
275,10
275,10
275,10
275,11
269,11
265,11
265,11
265,11
265,11
265,11
261,11
207,11
207,11
173,11
164,11
164,11
162,11
130,11
130,11
127,11
126,11
126,11
122,11
121,11
121,11
122,11
126,11
126,11
161,11
282,11
282,11
314,11
337,11
337,11
354,12
366,12
366,12
373,12
270,12
270,12
371,12
368,12
368,12
360,12
341,12
341,12
322,12
241,12
241,12
195,12
155,12
155,12
137,12
132,12
132,12
139,12
153,12
153,12
167,12
178,12
178,12
186,12
192,12
192,13
200,13
205,13
205,13
214,13
217,13
217,13
213,13
212,13
212,13
211,13
212,13
212,13
214,13
218,13
218,13
223,13
223,13
223,13
222,13
219,13
219,13
218,13
218,13
218,13
217,13
142,13
142,13
140,13
134,13
134,14
130,14
128,14
128,14
128,14
125,14
125,14
161,14
367,14
367,14
172,14
168,14
168,14
332,14
255,14
255,14
253,14
346,14
346,14
343,14
334,14
334,14
322,14
318,14
318,14
322,14
319,14
319,14
328,14
328,14
328,15
320,15
309,15
309,15
295,15
282,15
282,15
272,15
263,15
263,15
259,15
259,15
259,15
257,15
257,15
257,15
267,15
264,15
264,15
262,15
258,15
258,15
283,15
242,15
242,15
241,15
244,15
244,15
247,15
249,15
249,16
247,16
243,16
243,16
240,16
237,16
237,16
164,16
159,16
159,16
151,16
146,16
146,16
145,16
138,16
138,16
134,16
149,16
149,16
212,16
216,16
216,16
214,16
216,16
216,16
214,16
210,16
210,16
208,16
287,16
287,17
254,17
252,17
252,17
252,17
250,17
250,17
247,17
246,17
246,17
246,17
231,17
231,17
216,17
214,17
214,17
211,17
209,17
209,17
209,17
200,17
200,17
128,17
119,17
119,17
118,17
122,17
122,17
123,17
127,17
127,18
138,18
244,18
244,18
257,18
262,18
262,18
267,18
273,18
273,18
267,18
133,18
133,18
320,18
379,18
379,18
183,18
194,18
194,18
380,18
359,18
359,18
359,18
216,18
216,18
392,18
308,18
308,18
308,18
351,18
351,19
339,19
339,19
339,19
339,19
57,19
57,19
57,19
57,19
57,19
201,19
262,19
262,19
341,19
341,19
341,19
341,19
341,19
341,19
371,19
340,19
340,19
363,19
366,19
366,19
392,19
392,19
392,19
392,19
392,19
392,20
392,20
392,20
392,20
392,20
392,20
392,20
276,20
317,20
317,20
295,20
302,20
302,20
302,20
310,20
310,20
304,20
318,20
318,20
322,20
396,20
396,20
386,20
386,20
386,20
241,20
318,20
318,20
276,20
340,20
340,21
338,21
355,21
355,21
300,21
301,21
301,21
295,21
279,21
279,21
285,21
280,21
280,21
248,21
395,21
395,21
388,21
375,21
375,21
369,21
332,21
332,21
328,21
328,21
328,21
332,21
332,21
332,21
333,21
340,21
340,21
347,22
345,22
345,22
348,22
348,22
348,22
375,22
374,22
374,22
365,22
358,22
358,22
352,22
349,22
349,22
346,22
355,22
355,22
357,22
356,22
356,22
341,22
332,22
332,22
341,22
343,22
343,22
371,22
384,22
384,23
379,23
375,23
375,23
377,23
364,23
364,23
350,23
315,23
315,23
277,23
269,23
269,23
389,23
131,23
131,23
148,23
234,23
234,23
294,23
308,23
308,23
300,23
291,23
291,23
272,23
192,23
192,23
208,23
212,23
212,24
355,24
359,24
359,24
344,24
342,24
342,24
327,24
328,24
328,24
379,24
372,24
372,24
375,24
388,24
388,24
268,24
394,24
394,24
394,24
394,24
394,24
394,24
394,24
394,24
394,24
394,24
394,24
379,24
379,24
379,25
379,25
379,25
379,25
379,25
379,25
379,25
237,25
237,25
237,25
28,25
320,25
320,25
320,25
300,25
300,25
298,25
291,25
291,25
325,25
330,25
330,25
331,25
332,25
332,25
338,25
337,25
337,25
337,25
342,25
342,26
346,26
357,26
357,26
363,26
363,26
